,company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
297,First Advantage,Associate Business Data Analyst – (Metrics & Analytics) - Bangalore,3.5,Bengaluru,283387.0,1001 to 5000 Employees,2003,Public,HR Consulting,Human Resources & Staffing,3.3,3.3,3.5,3.2,3.4
298,Zoof software Solutions,Data Engineer with Alation,4.7,Remote,100000.0,51 to 200 Employees,2014,Private,Software Development,Information Technology,4.5,3.8,4.6,4.4,3.6
299,Standard Chartered,Big Data Engineer,3.9,Bengaluru,712395.0,10000+ Employees,1969,Public,Banking & Lending,Finance,3.7,3.7,3.9,3.5,3.7
300,SyngyMaxim Solutions Pvt Ltd,Data Engineer,4.7,Hyderābād,150000.0,1 to 50 Employees,--,Private,--,--,4.7,3.7,4.7,4.4,4.4
301,PayU,Business Analyst - Data Science,3.7,Bengaluru,614817.0,1001 to 5000 Employees,2002,Private,Internet & Web Services,Information Technology,3.6,3.6,3.6,3.4,3.6
302,JPMorgan Chase & Co,Data Science Senior Associate,4.0,Bengaluru,578507.0,10000+ Employees,1799,Public,Banking & Lending,Finance,4.0,3.9,3.9,3.6,3.7
303,Sandvik,Data Entry Operator,4.2,Udaipur,415692.0,10000+ Employees,1862,Public,Machinery Manufacturing,Manufacturing,3.8,3.9,4.0,3.5,3.9
304,AlphaSense,Data Annotation Specialist,3.8,Mumbai,464758.0,1001 to 5000 Employees,2011,Private,Enterprise Software & Network Solutions,Information Technology,3.7,4.0,3.7,3.4,3.6
305,Anblicks,Data Scientist,3.8,Hyderābād,687113.0,501 to 1000 Employees,2004,Private,Information Technology Support Services,Information Technology,3.8,3.6,3.5,3.5,3.4
306,Genpact,SA-Data Quality Analyst.,4.0,Hyderābād,565685.0,10000+ Employees,1997,Public,Information Technology Support Services,Information Technology,3.9,3.3,4.0,3.8,4.0
307,Shyena Tech Yarns Pvt Ltd,Data Engineer - Trainee,3.8,Pune,5000.0,1 to 50 Employees,--,Private,--,--,3.9,3.0,3.6,3.8,3.0
308,Tata Consultancy Services,Treasure Data Developer,3.8,Hyderābād,512355.0,10000+ Employees,1968,Public,Software Development,Information Technology,3.7,3.1,3.9,3.3,3.8
309,Hitachi Solutions,Data Engineer,4.4,Bengaluru,921954.0,1001 to 5000 Employees,2004,Private,Business Consulting,Management & Consulting,4.5,4.5,4.4,4.2,4.2
310,Alcon,Test Automation Engineer – DH Data analytics,3.8,Bengaluru,423074.0,10000+ Employees,1945,Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,3.4,3.9,3.6,3.3,3.5
311,Tata Insights and Quants,Data Scientist,3.8,Jamshedpur,1000000.0,Unknown,--,Private,Transportation Equipment Manufacturing,Manufacturing,3.7,3.5,3.7,3.4,3.5
312,Milestone,Data Engineer,3.9,Hyderābād,290241.0,1001 to 5000 Employees,1997,Private,Information Technology Support Services,Information Technology,3.4,3.5,3.7,3.5,3.9
313,YMTS India,Data Scientist (ML & DL),4.1,Tirupati,225000.0,51 to 200 Employees,--,Private,--,--,4.1,3.8,4.3,3.9,4.0
314,Moody's,Financial Data Analyst,3.9,Bengaluru,523832.0,10000+ Employees,1900,Public,Research & Development,Management & Consulting,3.4,3.4,3.8,3.4,3.7
315,Moody's,Financial Data Associate-MSC,3.9,Gurgaon,524991.0,10000+ Employees,1900,Public,Research & Development,Management & Consulting,3.4,3.4,3.8,3.4,3.7
316,XenonStack,Data Analyst,3.3,Mohali,513079.0,51 to 200 Employees,2016,Private,Enterprise Software & Network Solutions,Information Technology,3.3,3.0,3.1,3.0,2.8
317,Spice Money,Data Engineer,3.9,Mohali,687235.0,201 to 500 Employees,--,Private,Financial Transaction Processing,Finance,3.9,3.8,4.1,3.7,3.6
318,One Sigma Technologies,Data Analyst Fraud,3.7,Bengaluru,777892.0,501 to 1000 Employees,2015,Private,Internet & Web Services,Information Technology,3.7,3.9,3.7,3.6,3.6
319,Perfex Technologies,Data Base developer,4.4,Hyderābād,449258.0,201 to 500 Employees,--,Private,--,--,4.4,3.9,4.4,3.9,4.4
320,In Time Tec,Data Engineer,4.0,Bengaluru,579719.0,501 to 1000 Employees,2009,Private,Computer Hardware Development,Information Technology,4.0,3.5,4.1,3.9,3.7
